school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
MS,F,18,U,GT3,T,3,3,teacher,services,other,father,4,4,0,no,yes,no,yes,no,no,no,no,1,5,5,5,3,3,18,2,2,0
GP,F,20,U,LE3,T,1,3,teacher,at_home,home,other,1,1,1,yes,no,no,no,yes,yes,yes,no,1,2,3,3,3,4,8,12,15,16
GP,F,20,U,LE3,T,1,1,health,services,home,father,2,1,2,no,no,no,no,yes,yes,no,no,1,3,2,2,4,5,14,20,20,20
MS,F,18,R,GT3,T,2,3,at_home,health,course,mother,4,1,0,no,no,no,no,no,yes,yes,yes,5,3,1,2,1,1,18,10,7,4
MS,M,19,R,LE3,A,1,4,other,other,other,other,1,1,2,yes,yes,no,no,yes,yes,yes,yes,4,2,4,1,3,4,10,7,10,10
GP,F,16,U,LE3,A,3,1,teacher,at_home,home,father,4,1,2,no,no,yes,no,yes,no,yes,no,2,5,4,3,4,1,14,3,0,2
MS,M,18,R,GT3,T,1,0,teacher,at_home,other,other,3,4,0,no,yes,yes,yes,yes,yes,yes,no,3,1,4,4,4,4,14,12,12,12
MS,F,20,U,LE3,A,1,3,at_home,teacher,home,father,2,2,4,yes,yes,no,yes,yes,no,yes,yes,3,5,4,2,4,1,15,2,3,2
GP,F,20,U,LE3,T,0,3,at_home,health,reputation,father,1,4,0,yes,yes,yes,yes,no,yes,no,no,4,3,1,2,5,5,1,19,19,20
MS,M,21,U,LE3,T,2,2,services,teacher,course,other,2,1,2,no,yes,yes,yes,no,yes,no,yes,3,1,4,4,5,1,8,11,13,13
GP,M,16,R,GT3,A,2,3,other,health,course,other,1,4,3,yes,yes,no,no,no,no,yes,yes,2,3,5,4,3,4,18,0,0,0
GP,M,20,R,GT3,T,3,1,at_home,health,other,father,4,2,2,no,yes,no,yes,no,no,yes,yes,5,3,3,5,4,4,2,3,0,1
MS,M,22,U,GT3,T,0,2,at_home,at_home,course,father,4,2,3,yes,yes,no,yes,no,no,yes,no,4,3,4,2,2,5,29,14,11,10
GP,F,21,U,LE3,T,0,0,teacher,services,reputation,other,2,2,2,no,no,no,yes,yes,no,yes,yes,2,2,2,2,2,3,7,15,13,16
GP,M,15,R,LE3,T,2,1,health,other,course,father,1,3,2,no,no,no,no,no,yes,yes,yes,5,2,2,4,3,4,13,5,8,11
MS,M,19,R,LE3,T,0,0,other,other,home,other,1,2,2,no,no,no,no,no,yes,no,yes,1,4,1,4,5,4,25,15,17,19
GP,M,18,R,LE3,A,1,4,services,at_home,course,other,1,2,0,yes,yes,no,no,no,no,yes,yes,1,5,1,1,4,4,13,16,14,12
MS,F,22,U,GT3,A,1,0,at_home,at_home,home,father,1,3,1,no,yes,no,yes,no,no,no,no,1,5,2,3,2,4,27,9,10,10
GP,M,17,R,GT3,A,1,3,services,teacher,reputation,mother,2,2,0,yes,no,yes,no,yes,no,yes,no,3,2,1,4,5,3,4,3,2,5
MS,F,20,U,LE3,A,0,3,health,health,reputation,other,4,2,0,yes,yes,yes,no,yes,no,yes,yes,4,4,1,5,3,1,24,2,0,0
MS,M,21,U,GT3,T,0,0,health,health,other,father,3,1,4,yes,no,no,no,yes,no,no,no,2,4,2,3,2,3,15,4,7,10
MS,F,19,U,LE3,T,3,3,teacher,teacher,course,mother,4,2,4,yes,yes,no,yes,no,yes,no,yes,4,3,5,3,4,4,7,15,12,12
MS,M,19,U,GT3,A,2,0,teacher,teacher,course,father,1,3,2,no,yes,no,yes,yes,yes,no,yes,1,3,1,4,2,4,11,8,8,7
GP,F,19,U,LE3,T,0,1,health,at_home,course,mother,2,2,2,no,no,no,no,no,no,yes,yes,5,5,2,5,3,3,30,7,7,5
GP,M,21,U,GT3,A,1,1,health,other,other,other,3,3,0,no,yes,yes,yes,no,yes,no,no,1,5,4,1,4,5,28,4,2,1
MS,M,17,R,GT3,T,0,4,teacher,services,course,father,2,1,1,no,no,yes,no,yes,no,no,no,4,1,2,4,5,4,15,2,2,3
MS,M,18,R,GT3,T,3,4,teacher,at_home,home,father,2,4,2,yes,yes,no,no,yes,no,no,no,3,1,5,5,4,5,0,8,9,10
GP,M,16,R,LE3,T,2,4,health,teacher,other,mother,2,2,4,yes,yes,no,no,yes,no,yes,yes,1,4,3,3,1,1,1,16,14,12
MS,M,21,R,GT3,T,2,4,teacher,other,home,mother,4,3,1,no,yes,no,no,yes,yes,no,no,1,4,2,1,2,2,29,16,17,15
GP,F,16,R,GT3,T,0,2,services,teacher,home,father,1,4,2,no,no,no,no,no,no,no,no,1,1,2,3,1,3,22,18,18,20
MS,F,18,R,LE3,T,1,3,health,at_home,reputation,other,4,1,3,no,no,yes,yes,no,yes,no,yes,3,1,5,3,3,4,1,20,20,20
MS,M,18,R,LE3,T,3,1,teacher,health,other,father,1,1,2,yes,no,no,no,yes,yes,yes,yes,4,3,2,1,3,5,12,17,20,18
GP,M,17,R,GT3,T,3,0,other,at_home,other,father,2,4,2,yes,no,no,yes,yes,yes,yes,yes,5,3,3,1,2,4,19,1,0,0
GP,M,21,R,GT3,A,3,3,health,services,other,father,2,4,1,yes,yes,yes,no,no,no,yes,yes,3,4,4,5,4,2,16,9,8,10
GP,F,17,R,LE3,T,3,4,teacher,teacher,home,other,4,2,1,no,no,no,yes,no,no,yes,no,3,3,4,5,5,3,12,17,19,17
GP,F,17,R,GT3,A,1,4,other,services,course,father,2,4,3,no,yes,no,yes,yes,yes,no,no,3,4,1,2,2,5,4,14,15,18
GP,F,17,U,LE3,T,1,1,services,services,home,other,4,2,4,yes,no,yes,yes,no,yes,no,no,3,3,4,1,3,1,25,5,3,0
MS,F,18,R,LE3,A,3,4,health,teacher,home,mother,2,4,0,yes,yes,no,no,no,yes,no,yes,3,2,5,5,1,4,1,5,2,5
GP,F,20,R,LE3,T,3,0,health,teacher,other,mother,3,4,1,no,no,no,yes,no,yes,yes,yes,2,2,1,1,3,2,18,2,4,4
GP,M,17,R,LE3,A,0,4,health,at_home,reputation,father,1,1,3,no,no,no,yes,yes,no,no,yes,1,1,2,2,4,1,18,15,16,14
MS,F,18,U,LE3,A,0,0,health,at_home,home,other,4,3,2,yes,yes,yes,no,no,yes,no,yes,4,5,4,3,3,2,14,5,7,10
MS,M,16,R,GT3,A,4,4,at_home,health,reputation,father,2,1,0,no,no,no,no,no,no,no,no,1,2,4,1,3,4,19,0,0,0
GP,M,17,U,LE3,T,2,3,teacher,other,home,mother,2,1,4,yes,no,yes,yes,no,yes,yes,yes,5,5,3,3,5,5,16,4,2,4
MS,M,18,U,GT3,T,2,3,health,other,home,father,1,4,2,yes,yes,yes,yes,no,no,no,yes,1,1,1,5,2,1,18,5,5,8
GP,M,19,R,GT3,T,2,2,at_home,teacher,course,father,4,2,2,no,no,no,no,no,no,yes,yes,4,5,1,2,3,5,19,0,0,0
MS,M,18,U,LE3,A,4,4,health,other,reputation,other,1,1,0,yes,yes,yes,no,no,no,no,yes,5,4,5,1,1,2,11,0,3,3
MS,F,15,U,LE3,T,4,2,teacher,health,reputation,mother,2,1,2,no,no,yes,yes,no,no,yes,yes,3,3,1,5,1,1,1,0,2,5
MS,F,18,U,LE3,T,0,3,other,services,home,mother,2,3,0,no,yes,yes,yes,no,yes,no,yes,3,2,1,1,5,4,21,7,9,8
GP,M,17,U,GT3,T,3,4,other,services,course,mother,4,3,0,no,no,no,yes,no,yes,no,no,4,5,4,5,4,3,5,10,8,5
GP,F,16,U,LE3,T,3,1,services,services,course,mother,3,3,0,yes,no,yes,no,yes,yes,yes,no,5,5,1,3,1,5,27,17,20,19
GP,M,19,U,LE3,T,4,4,at_home,health,home,mother,4,2,3,no,yes,no,yes,yes,yes,no,no,4,5,4,4,2,4,25,13,12,13
MS,M,19,U,GT3,T,0,1,teacher,teacher,course,other,4,3,1,no,yes,no,yes,yes,no,yes,no,5,5,2,4,5,3,9,2,0,0
GP,M,16,R,LE3,A,0,4,services,at_home,course,mother,3,3,3,yes,yes,yes,yes,no,no,yes,yes,4,4,2,1,5,5,10,12,12,10
