school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
GP,F,19,U,LE3,T,0,4,teacher,other,other,mother,1,1,1,yes,yes,yes,no,yes,no,no,yes,2,4,3,3,2,2,30,5,3,3
GP,M,20,R,LE3,A,4,0,at_home,teacher,course,other,3,2,0,yes,yes,no,yes,yes,yes,no,no,4,3,2,3,3,2,21,7,9,10
GP,F,17,R,GT3,A,4,1,services,teacher,reputation,mother,3,4,2,yes,yes,no,yes,no,no,no,yes,3,2,2,5,5,3,23,12,14,14
MS,F,17,R,LE3,T,0,1,health,at_home,home,father,4,4,4,no,yes,yes,no,no,yes,no,no,2,4,1,3,5,2,16,1,3,4
GP,F,20,U,LE3,A,3,0,teacher,services,course,mother,1,2,4,yes,yes,no,yes,yes,yes,no,yes,3,5,5,4,2,5,24,1,2,3
MS,M,22,U,LE3,T,0,2,teacher,other,reputation,other,2,1,0,yes,yes,yes,yes,no,yes,yes,no,4,2,5,2,5,5,15,8,9,8
GP,F,21,R,GT3,A,3,0,teacher,teacher,other,other,3,1,1,yes,yes,no,yes,no,yes,no,no,2,1,4,5,1,1,20,8,6,5
GP,M,22,R,LE3,A,0,1,at_home,teacher,other,father,4,3,3,no,yes,yes,no,yes,yes,yes,no,1,1,5,4,5,5,5,4,2,1
GP,F,18,R,LE3,T,4,4,teacher,other,home,father,3,3,1,no,yes,no,no,yes,no,no,no,1,1,4,5,5,1,2,12,14,14
GP,M,16,U,GT3,A,1,3,other,services,home,other,3,1,1,no,yes,yes,yes,no,no,yes,no,2,3,5,4,3,1,2,15,15,14
GP,M,17,R,LE3,A,4,3,other,teacher,home,mother,2,1,2,yes,no,yes,yes,no,no,yes,no,2,2,1,3,5,4,19,2,1,0
MS,F,17,R,GT3,T,2,1,teacher,at_home,home,father,2,2,3,no,no,yes,yes,yes,yes,no,no,3,1,3,3,5,4,21,8,6,5
MS,F,19,U,LE3,A,2,2,at_home,other,home,father,2,3,0,no,yes,yes,no,no,yes,no,no,1,3,5,3,4,3,12,12,11,10
MS,M,17,R,GT3,T,2,2,health,at_home,course,father,4,4,1,no,yes,yes,no,no,yes,yes,no,2,2,2,1,1,2,15,14,15,15
GP,M,22,R,LE3,T,0,0,at_home,health,reputation,other,4,1,4,yes,yes,no,yes,no,no,no,no,5,4,2,4,4,3,24,0,2,2
GP,M,22,U,GT3,T,2,2,services,other,home,mother,2,2,3,yes,yes,yes,no,no,no,no,no,1,2,4,4,5,1,27,9,10,9
MS,M,21,R,LE3,A,1,2,at_home,at_home,home,father,3,4,1,no,yes,yes,no,yes,yes,no,yes,4,2,1,3,4,3,6,13,13,13
MS,M,19,U,GT3,T,4,0,services,health,home,other,1,1,1,yes,yes,yes,yes,yes,no,yes,yes,4,3,3,2,5,5,30,1,1,0
GP,M,21,R,LE3,T,4,1,teacher,services,home,other,1,3,4,no,no,yes,no,yes,no,no,yes,4,3,4,2,4,2,23,7,9,10
MS,M,21,R,GT3,T,0,2,at_home,health,other,other,4,3,0,no,no,yes,no,yes,no,no,no,3,5,3,5,1,5,30,6,5,6
MS,M,18,R,GT3,A,0,0,services,health,other,other,2,3,4,no,no,no,no,no,no,no,no,3,3,2,1,2,3,3,9,8,7
MS,M,19,U,LE3,A,1,2,health,services,home,other,2,3,0,yes,no,yes,no,yes,yes,no,no,4,4,3,2,1,3,30,10,8,8
MS,F,15,U,LE3,A,0,1,teacher,other,other,other,2,4,3,no,no,no,no,yes,yes,yes,yes,3,1,2,2,2,5,2,4,5,5
MS,M,15,U,GT3,A,3,0,health,services,reputation,father,1,2,1,no,yes,yes,yes,yes,no,no,no,1,4,3,4,3,5,17,11,9,10
GP,M,20,R,LE3,T,1,4,other,teacher,course,other,1,2,3,no,no,yes,no,no,yes,no,no,4,3,3,1,2,3,13,9,10,11
GP,M,16,R,GT3,A,0,3,other,teacher,other,father,1,2,4,no,no,no,yes,yes,no,yes,no,4,4,1,1,5,2,22,1,3,2
MS,F,18,U,GT3,T,1,3,services,other,course,father,4,4,1,no,yes,no,yes,yes,yes,no,no,3,5,3,1,3,3,26,16,17,16
MS,M,20,R,GT3,A,2,1,health,other,other,mother,4,1,2,no,no,no,yes,no,yes,yes,no,1,4,1,5,4,1,23,3,2,1
MS,M,20,R,LE3,A,4,3,services,at_home,home,other,1,2,2,yes,yes,no,yes,yes,no,yes,no,1,1,3,1,3,3,11,8,7,8
MS,F,17,U,LE3,A,4,1,at_home,other,reputation,mother,4,3,3,no,yes,no,no,yes,yes,no,no,5,3,4,3,4,3,6,9,7,6
MS,M,19,R,LE3,A,2,0,other,teacher,other,father,2,3,1,yes,no,yes,yes,yes,no,no,yes,5,3,2,1,3,3,23,9,8,7
MS,M,17,R,GT3,A,2,0,at_home,teacher,reputation,mother,4,3,0,no,yes,no,yes,no,no,no,no,3,1,2,4,1,5,28,13,15,14
GP,M,19,R,LE3,T,0,0,services,at_home,home,mother,2,2,3,no,no,no,yes,no,yes,no,no,3,1,3,2,4,4,30,2,0,1
MS,M,15,R,GT3,T,0,3,teacher,health,home,mother,3,2,1,yes,yes,yes,yes,yes,no,yes,yes,3,2,2,5,3,2,3,12,11,10
MS,F,20,U,LE3,A,0,1,at_home,other,home,other,1,4,3,no,yes,no,yes,yes,no,no,yes,1,4,4,4,1,4,22,7,5,5
GP,F,17,R,GT3,A,4,4,services,at_home,other,mother,1,2,3,no,yes,no,no,no,no,no,yes,3,4,3,3,3,2,21,5,3,2
GP,M,16,R,LE3,T,4,4,other,services,home,father,3,4,0,no,no,no,yes,yes,yes,no,yes,1,3,5,3,1,3,18,11,13,14
GP,M,15,U,GT3,A,2,2,teacher,health,reputation,other,4,1,1,yes,yes,yes,no,no,no,no,yes,3,3,3,5,5,1,28,0,0,1
GP,F,19,R,GT3,A,4,3,at_home,services,reputation,other,1,3,3,yes,no,no,no,yes,yes,no,yes,1,2,3,2,2,3,9,6,4,4
MS,F,17,R,LE3,A,0,3,teacher,at_home,home,father,1,3,4,no,no,no,no,yes,no,yes,no,2,5,4,3,1,4,27,0,1,2
MS,F,21,R,GT3,T,2,1,teacher,other,home,other,2,3,2,yes,yes,yes,yes,no,yes,yes,yes,1,2,4,4,5,5,14,14,16,16
MS,F,22,U,GT3,A,2,2,other,teacher,course,other,1,3,3,no,yes,yes,no,no,yes,yes,no,4,5,5,1,4,5,20,4,6,6
GP,F,22,U,GT3,T,4,1,teacher,health,other,father,2,3,2,no,no,no,no,yes,no,yes,no,1,5,4,3,3,5,27,4,2,3
GP,M,19,R,LE3,T,2,4,at_home,services,reputation,other,1,4,4,no,yes,no,no,yes,yes,no,no,2,2,2,2,1,3,27,4,6,7
GP,M,17,R,LE3,T,1,4,health,at_home,home,father,3,2,3,no,no,yes,yes,no,no,yes,no,5,4,4,3,4,5,16,5,4,5
GP,M,15,R,GT3,T,4,0,services,teacher,reputation,father,4,2,3,yes,yes,no,no,yes,no,yes,no,5,3,2,4,1,3,7,2,0,1
MS,F,17,U,GT3,A,1,3,at_home,other,home,mother,1,3,1,yes,no,yes,no,yes,no,yes,yes,2,4,5,4,1,1,26,13,15,14
GP,F,19,R,LE3,A,1,4,at_home,health,home,other,3,1,4,yes,no,no,yes,no,no,no,yes,3,1,3,2,1,5,23,3,1,1
MS,F,22,R,LE3,T,0,3,teacher,services,reputation,mother,2,1,2,no,no,no,no,yes,yes,no,no,1,3,3,1,3,4,28,8,9,9
GP,M,22,R,GT3,T,3,0,at_home,other,reputation,other,3,3,0,yes,no,no,no,no,no,yes,no,3,4,1,3,5,4,8,14,12,13
MS,M,17,U,LE3,A,0,1,teacher,health,course,father,4,1,4,yes,no,no,no,no,yes,yes,no,4,3,3,2,1,1,23,2,4,4
GP,M,19,R,LE3,A,3,1,teacher,health,home,father,2,4,0,no,no,yes,no,no,yes,yes,no,5,2,1,2,2,2,25,12,12,13
MS,M,17,U,LE3,A,3,3,other,at_home,other,other,1,2,2,yes,no,no,no,yes,yes,yes,no,5,1,1,5,2,3,5,5,4,4
MS,F,19,U,GT3,T,2,4,other,teacher,reputation,other,2,2,4,no,yes,yes,yes,yes,no,yes,no,5,1,4,5,3,3,15,3,3,3
GP,F,17,R,GT3,A,3,1,services,other,reputation,father,3,3,3,yes,no,yes,no,yes,no,yes,no,4,2,2,1,1,3,30,9,10,9
GP,M,20,U,LE3,A,4,3,at_home,services,other,mother,1,4,4,no,yes,yes,no,yes,yes,no,no,5,4,3,5,1,1,13,3,3,3
MS,F,21,U,LE3,A,4,2,teacher,at_home,other,other,3,1,1,yes,no,no,no,no,yes,yes,no,5,1,1,1,2,3,25,12,13,12
GP,M,20,U,GT3,A,4,2,other,other,other,other,3,4,0,no,no,yes,no,no,yes,no,no,5,5,2,1,5,4,5,18,19,18
GP,F,16,U,LE3,A,2,3,health,at_home,reputation,father,4,1,1,yes,no,no,no,no,yes,no,no,5,3,3,5,4,2,30,4,6,6
GP,M,19,U,GT3,A,3,2,other,services,course,mother,4,4,2,yes,no,yes,no,yes,no,no,no,4,2,2,5,3,5,22,6,4,5
GP,F,15,U,LE3,T,0,3,services,at_home,home,other,2,1,4,yes,no,no,no,yes,no,no,no,1,1,5,2,5,1,29,0,0,0
MS,M,17,R,LE3,T,2,4,other,teacher,course,father,4,4,1,no,no,yes,yes,no,yes,no,no,2,1,3,3,5,2,5,16,17,18
MS,F,21,U,LE3,T,3,2,health,teacher,course,father,2,4,2,no,no,yes,no,no,yes,yes,yes,4,3,2,4,5,3,22,3,3,4
GP,F,17,R,LE3,A,4,2,at_home,other,other,other,2,2,4,yes,no,no,yes,yes,yes,yes,yes,2,3,5,4,1,2,22,9,7,8
MS,F,22,U,GT3,A,4,0,other,at_home,course,other,1,4,2,yes,yes,yes,yes,no,no,yes,yes,1,4,1,3,4,2,24,6,6,6
MS,M,21,U,LE3,A,0,1,other,at_home,reputation,other,2,1,0,no,no,no,no,yes,yes,no,no,2,3,2,1,1,4,19,4,3,2
GP,F,22,U,LE3,T,3,3,health,other,reputation,mother,2,3,1,no,no,yes,no,yes,yes,no,no,3,1,5,5,2,4,17,9,9,10
MS,M,21,R,LE3,A,3,1,other,at_home,reputation,mother,3,2,3,yes,no,no,yes,no,yes,no,yes,3,1,4,3,1,5,23,2,2,2
